trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.9122787410307298,0.08772125896927015,1
2,left,left,0.6794251581849429,0.32057484181505713,2
3,left,right,0.1400227788980598,0.8599772211019402,2
4,right,left,0.623958503429133,0.37604149657086705,2
5,left,left,0.7421153963430938,0.2578846036569062,3
6,right,right,0.14180944442547472,0.8581905555745253,4
7,left,none,0.4586183075468272,0.5413816924531728,4
8,right,none,0.5625571097139748,0.4374428902860253,4
9,left,left,0.8979830687203916,0.10201693127960842,5
10,right,none,0.4957580472930463,0.5042419527069537,5
11,right,none,0.4640686764860448,0.5359313235139552,5
12,right,right,0.37223411357264213,0.6277658864273579,6
13,left,none,0.406853329281774,0.593146670718226,6
14,left,left,0.719303632996459,0.2806963670035409,7
15,right,left,0.7900169484282151,0.2099830515717849,7
16,left,left,0.8738675924820575,0.12613240751794255,8
17,right,right,0.1789873427146872,0.8210126572853128,9
18,right,none,0.588554486484214,0.4114455135157859,9
19,left,right,0.27447186114455524,0.7255281388554448,9
20,right,right,0.2993468602579572,0.7006531397420428,10
21,right,right,0.2059028807421338,0.7940971192578662,11
22,left,left,0.8269909131093711,0.17300908689062885,12
23,right,none,0.4276172794468981,0.5723827205531019,12
24,left,left,0.8435123747308858,0.15648762526911422,13
25,left,none,0.5930824970271813,0.40691750297281865,13
26,left,none,0.5046988227306979,0.4953011772693021,13
27,left,left,0.7359954731107253,0.26400452688927467,14
28,left,left,0.8052631762068834,0.19473682379311658,15
29,right,left,0.9490883921173195,0.05091160788268044,15
30,right,left,0.7777142396813366,0.22228576031866348,15
31,right,none,0.546629285777863,0.453370714222137,15
32,right,none,0.5843104191491333,0.4156895808508667,15
33,left,none,0.49267604697930567,0.5073239530206943,15
34,right,none,0.5057873211444169,0.49421267885558307,15
35,left,right,0.3935742789731642,0.6064257210268358,15
36,right,none,0.5533532922645998,0.44664670773540016,15
37,left,right,0.1792764377020999,0.8207235622979001,15
38,right,right,0.24455609190890437,0.7554439080910956,16
39,left,right,0.2880530961922939,0.7119469038077061,16
40,right,right,0.20292697920387337,0.7970730207961266,17
41,right,none,0.46850844648317624,0.5314915535168238,17
42,left,right,0.07161179859866151,0.9283882014013385,17
43,right,none,0.4678373191075085,0.5321626808924915,17
44,right,right,0.39531190125560245,0.6046880987443976,18
45,left,left,0.8034347099529376,0.19656529004706239,19
46,left,none,0.49326845833958044,0.5067315416604196,19
47,left,right,0.3954110663454302,0.6045889336545698,19
48,right,right,0.270963311840829,0.729036688159171,20
49,left,left,0.8641154809414419,0.13588451905855817,21
50,right,right,0.22038738154846438,0.7796126184515356,22
51,left,none,0.5629038221019291,0.43709617789807087,22
52,right,none,0.5174643168550407,0.4825356831449593,22
53,left,left,0.6738090470777085,0.3261909529222915,23
54,left,none,0.4376438365494826,0.5623561634505174,23
55,right,left,0.6806096165053592,0.31939038349464083,23
56,left,none,0.5700320739197652,0.4299679260802348,23
57,right,none,0.47005862424865197,0.529941375751348,23
58,right,right,0.3686734330128594,0.6313265669871406,24
59,left,left,0.6411622867733126,0.35883771322668745,25
