trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.07194371642767283,0.9280562835723272,1
2,right,right,0.2732875355384421,0.7267124644615579,2
3,left,right,0.12984849074765148,0.8701515092523485,2
4,right,right,0.13058549589541735,0.8694145041045827,3
5,right,right,0.2448324147687131,0.7551675852312869,4
6,left,right,0.15317514669015642,0.8468248533098436,4
7,right,right,0.198878623664404,0.801121376335596,5
8,left,right,0.2802955417904628,0.7197044582095372,5
9,right,none,0.49193980471452725,0.5080601952854727,5
10,right,right,0.16193707279870717,0.8380629272012928,6
11,left,right,0.07731067373271971,0.9226893262672803,6
12,left,right,0.2558901758859451,0.7441098241140549,6
13,right,right,0.07826068550603071,0.9217393144939693,7
14,right,right,0.09227576520420566,0.9077242347957943,8
15,left,right,0.2922255638005655,0.7077744361994345,8
16,right,right,0.1286357593594467,0.8713642406405533,9
17,right,right,0.1659534571262995,0.8340465428737005,10
18,left,right,0.32807159216714565,0.6719284078328543,10
19,right,right,0.34069960635036955,0.6593003936496304,11
20,right,none,0.5075483936213874,0.4924516063786127,11
21,left,right,0.14343671023225713,0.8565632897677429,11
22,right,right,0.19696765636388702,0.803032343636113,12
23,right,right,0.10485853731496286,0.8951414626850371,13
24,left,right,0.226112005075921,0.773887994924079,13
25,left,none,0.4308543697874272,0.5691456302125728,13
26,right,right,0.04692080342222582,0.9530791965777742,14
27,left,none,0.566667509740919,0.43333249025908105,14
28,left,right,0.31649569468740435,0.6835043053125957,14
29,left,left,0.6490378497117768,0.35096215028822314,15
30,left,none,0.44564188865024146,0.5543581113497585,15
31,right,right,0.1463908922858569,0.8536091077141431,16
32,left,left,0.7578033511087594,0.24219664889124054,17
33,left,right,0.3827578325493668,0.6172421674506332,17
34,right,right,0.23161236199522073,0.7683876380047793,18
35,left,right,0.011848204276980301,0.9881517957230197,18
36,left,right,0.1966912691472753,0.8033087308527247,18
37,right,right,0.025740731342433154,0.9742592686575668,19
38,left,right,0.05224545507066258,0.9477545449293374,19
39,right,right,0.36131110683870793,0.6386888931612921,20
40,left,left,0.6573914539969319,0.34260854600306806,21
41,right,none,0.5129807229077836,0.4870192770922163,21
42,left,none,0.4080617378732224,0.5919382621267776,21
43,left,right,0.14433999781647167,0.8556600021835283,21
44,left,right,0.1522096921851721,0.8477903078148279,21
45,right,right,0.09040754191644329,0.9095924580835567,22
46,left,none,0.43569917412747117,0.5643008258725288,22
47,right,right,0.10599280367565977,0.8940071963243402,23
48,right,right,0.08204665717540982,0.9179533428245902,24
49,right,right,0.1100552909885365,0.8899447090114635,25
50,left,right,0.3452926858704328,0.6547073141295672,25
51,right,right,0.12123366383377476,0.8787663361662252,26
52,left,right,0.03765315666699631,0.9623468433330037,26
53,right,right,0.16618840520121914,0.8338115947987809,27
54,right,none,0.4558697918082766,0.5441302081917234,27
