trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.9632608072313925,0.03673919276860745,1
2,right,right,0.00766016061489283,0.9923398393851072,2
3,left,left,0.6547281655915309,0.3452718344084691,3
4,left,left,0.9572357363074655,0.04276426369253444,4
5,right,right,0.046382428598810366,0.9536175714011896,5
6,right,right,0.25622784196947657,0.7437721580305234,6
7,left,left,0.7428232794351957,0.25717672056480434,7
8,left,none,0.5320261588819537,0.4679738411180463,7
9,left,left,0.8391377993951823,0.16086220060481776,8
10,left,left,0.9144378849968351,0.0855621150031649,9
11,left,left,0.8228094462232929,0.17719055377670706,10
12,left,left,0.9244314153294162,0.07556858467058382,11
13,right,right,0.1281982614527193,0.8718017385472807,12
14,left,left,0.8496254495930611,0.1503745504069389,13
15,right,right,0.2900142324259469,0.7099857675740531,14
16,right,right,0.06316539683319244,0.9368346031668076,15
17,right,right,0.20010666644366237,0.7998933335563376,16
18,left,left,0.8211851422814741,0.1788148577185259,17
19,left,left,0.8412426356665892,0.15875736433341084,18
20,left,left,0.7432021644419581,0.2567978355580419,19
21,right,right,0.08232330207248129,0.9176766979275187,20
22,left,left,0.8637538383792551,0.13624616162074488,21
23,left,none,0.4009913249262512,0.5990086750737488,21
24,right,right,0.15181048622789006,0.8481895137721099,22
25,left,left,0.7300166724744659,0.2699833275255341,23
26,right,left,0.6376222759668433,0.3623777240331567,23
27,left,left,0.8528166049950523,0.14718339500494776,24
28,right,right,0.12086227868758248,0.8791377213124175,25
29,left,left,0.8311865365425908,0.1688134634574092,26
30,right,right,0.22062660695417213,0.7793733930458279,27
31,left,left,0.6630497618526965,0.33695023814730357,28
32,right,none,0.40102807627292514,0.5989719237270749,28
33,left,right,0.3095118814289364,0.6904881185710636,28
34,right,right,0.016438600481199828,0.9835613995188002,29
35,right,none,0.5107555514398093,0.48924444856019067,29
36,left,left,0.9073933611821254,0.09260663881787454,30
37,left,none,0.5980626226487402,0.40193737735125973,30
38,right,none,0.5601130339198186,0.43988696608018135,30
39,right,right,0.3811177067745307,0.6188822932254693,31
40,left,none,0.4107881193109916,0.5892118806890084,31
41,left,right,0.12966911015992622,0.8703308898400738,31
42,right,right,0.029536017576912266,0.9704639824230877,32
43,right,right,0.3344034297168952,0.6655965702831048,33
44,right,right,0.045404976274847186,0.9545950237251528,34
45,right,right,0.27112033804877567,0.7288796619512243,35
46,left,left,0.7100111727594838,0.2899888272405162,36
47,right,right,0.04880689312416753,0.9511931068758325,37
48,left,left,0.7279851124281992,0.2720148875718008,38
49,right,right,0.11645836993034198,0.883541630069658,39
50,right,right,0.3051812051354291,0.6948187948645709,40
51,right,none,0.5361968198810605,0.46380318011893945,40
52,left,left,0.8105933729630068,0.18940662703699315,41
53,left,left,0.9218501012568112,0.0781498987431888,42
54,right,right,0.3416142040789424,0.6583857959210576,43
55,right,right,0.11977097238648782,0.8802290276135122,44
