trial,truth,prediction,prob_left,prob_right,score
1,left,right,0.250106482,0.749893518,0
2,left,left,0.634474465,0.365525535,1
3,left,left,0.978523735,0.021476265,2
4,left,none,0.54415476,0.45584524,2
5,left,left,0.870850884,0.129149116,3
6,left,left,0.847004898,0.152995102,4
7,right,right,0.398095076,0.601904924,5
8,right,left,0.603495323,0.396504677,5
9,left,left,0.896006196,0.103993804,6
10,left,right,0.071755058,0.928244942,6
11,right,right,0.306003796,0.693996204,7
12,right,right,0.022105001,0.977894999,8
13,left,left,0.838273019,0.161726981,9
14,right,right,0.338264617,0.661735383,10
15,right,right,0.252925104,0.747074896,11
16,right,right,0.3003235,0.6996765,12
17,right,right,0.359629267,0.640370733,13
18,right,left,0.801182665,0.198817335,13
19,left,left,0.914264641,0.085735359,14
20,right,right,0.269995587,0.730004413,15
21,right,right,0.318504574,0.681495426,16
22,left,left,0.922190449,0.077809551,17
23,left,left,0.732395933,0.267604067,18
24,right,left,0.774468711,0.225531289,18
25,left,right,0.308687796,0.691312204,18
26,right,right,0.007950043,0.992049957,19
27,left,right,0.11453942,0.88546058,19
28,left,right,0.136803085,0.863196915,19
29,right,right,0.122848853,0.877151147,20
30,right,right,0.00364666,0.99635334,21
31,left,left,0.980057741,0.019942259,22
32,right,left,0.665882734,0.334117266,22
33,right,left,0.888841186,0.111158814,22
34,left,left,0.830785659,0.169214341,23
35,left,right,0.187907945,0.812092055,23
36,right,right,0.261559977,0.738440023,24
37,left,left,0.822917407,0.177082593,25
38,left,left,0.989836495,0.010163505,26
39,right,left,0.660284678,0.339715322,26
40,right,right,0.192125379,0.807874621,27
41,left,left,0.899325643,0.100674357,28
42,left,right,0.198127071,0.801872929,28
43,right,right,0.371959237,0.628040763,29
44,right,right,0.273671433,0.726328567,30
45,right,right,0.061747549,0.938252451,31
46,left,right,0.246494889,0.753505111,31
47,left,none,0.586267129,0.413732871,31
48,right,left,0.605766279,0.394233721,31
49,left,right,0.257311324,0.742688676,31
50,right,right,0.23082677,0.76917323,32
51,right,right,0.333714586,0.666285414,33
52,right,right,0.353602518,0.646397482,34
53,left,left,0.85731176,0.14268824,35
54,left,none,0.493419906,0.506580094,35
55,left,left,0.799360564,0.200639436,36
56,right,left,0.66622262,0.33377738,36
57,right,right,0.154140093,0.845859907,37
58,left,left,0.797612486,0.202387514,38
