trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.8177820910459572,0.1822179089540428,1
2,left,left,0.9212157156336663,0.07878428436633368,2
3,left,none,0.5082822264376006,0.4917177735623994,2
4,left,left,0.7334088232799207,0.2665911767200793,3
5,right,left,0.7164119715329087,0.28358802846709125,3
6,right,right,0.21826131396467707,0.7817386860353229,4
7,right,none,0.49417176646035677,0.5058282335396432,4
8,right,left,0.6750488409007505,0.3249511590992495,4
9,right,left,0.6236708211575903,0.37632917884240974,4
10,left,left,0.8650942084240903,0.13490579157590968,5
11,left,none,0.4725251125731522,0.5274748874268478,5
12,left,left,0.8117935721595757,0.18820642784042424,6
13,right,left,0.6329155619735904,0.36708443802640955,6
14,left,left,0.6532275400495611,0.346772459950439,7
15,left,left,0.7005487047104386,0.29945129528956144,8
16,right,right,0.2513088442926703,0.7486911557073297,9
17,right,left,0.601462586029566,0.39853741397043396,9
18,left,none,0.4516638632917719,0.5483361367082281,9
19,left,left,0.8242388194903487,0.17576118050965125,10
20,right,right,0.3599583969439034,0.6400416030560966,11
21,right,right,0.1995850372112027,0.8004149627887973,12
22,right,none,0.4619205113499095,0.5380794886500905,12
23,right,right,0.38005834429361374,0.6199416557063863,13
24,right,left,0.8517616215398724,0.14823837846012752,13
25,left,left,0.7014602402283794,0.29853975977162067,14
26,left,none,0.49734039201686875,0.5026596079831313,14
27,left,left,0.6083641070931736,0.3916358929068265,15
28,right,none,0.4412442694799775,0.5587557305200225,15
29,right,right,0.29681818440662777,0.7031818155933722,16
30,left,right,0.08149945293665506,0.9185005470633449,16
31,right,right,0.18221559935096865,0.8177844006490314,17
32,left,none,0.5798923669251266,0.4201076330748735,17
33,left,left,0.7614611855638596,0.23853881443614042,18
34,right,right,0.28313251061043154,0.7168674893895685,19
35,right,left,0.6018940256595218,0.39810597434047823,19
36,left,left,0.6607391934774255,0.3392608065225745,20
37,right,right,0.21588922931475474,0.7841107706852453,21
38,left,left,0.6242591329105565,0.37574086708944354,22
39,right,right,0.3064141993540461,0.6935858006459539,23
40,left,left,0.9060964008568668,0.09390359914313316,24
41,right,right,0.06352190772364008,0.9364780922763599,25
42,left,none,0.5988797060917264,0.4011202939082736,25
43,left,right,0.33977701403818306,0.6602229859618169,25
44,right,right,0.31853457264677754,0.6814654273532225,26
45,left,left,0.7094367167965678,0.2905632832034321,27
46,right,left,0.7917870990351492,0.20821290096485076,27
47,right,right,0.30101329073607375,0.6989867092639263,28
48,left,left,0.8304192141200936,0.16958078587990644,29
