trial,truth,prediction,prob_left,prob_right,score
1,right,left,0.939072303307152,0.06092769669284804,0
2,left,left,0.8529986524900113,0.14700134750998867,1
3,right,right,0.32512425026875535,0.6748757497312446,2
4,right,left,0.6801982407969887,0.31980175920301135,2
5,left,left,0.8820172824998944,0.11798271750010561,3
6,left,left,0.9800368924453241,0.01996310755467585,4
7,right,none,0.4998754743221415,0.5001245256778585,4
8,right,left,0.693347469019769,0.30665253098023104,4
9,left,left,0.8920225798801439,0.10797742011985612,5
10,right,left,0.9468987969571881,0.05310120304281185,5
11,right,left,0.7547522577678063,0.24524774223219373,5
12,right,left,0.9559137520952026,0.04408624790479742,5
13,left,left,0.9706845623172109,0.029315437682789134,6
14,left,left,0.9752790554935392,0.024720944506460733,7
15,left,left,0.9839451135204164,0.016054886479583596,8
16,right,left,0.9065242241778064,0.09347577582219357,8
17,left,left,0.9685132042833938,0.031486795716606134,9
18,left,left,0.9960313063850571,0.003968693614942854,10
19,right,left,0.7312469644045512,0.26875303559544883,10
20,right,left,0.9580813569524173,0.04191864304758272,10
21,right,left,0.8485863858279671,0.15141361417203295,10
22,left,left,0.9966129462718899,0.003387053728110132,11
23,left,left,0.9712066713775714,0.02879332862242853,12
24,left,left,0.9654544207783736,0.03454557922162633,13
25,left,left,0.9902826009999273,0.009717399000072739,14
26,left,none,0.5389680729549314,0.46103192704506857,14
27,right,left,0.9240316891978932,0.07596831080210671,14
28,right,left,0.9914784392651768,0.008521560734823259,14
29,left,left,0.9026076134716562,0.09739238652834377,15
30,left,left,0.9847012490600072,0.015298750939992757,16
31,right,right,0.10837835400462825,0.8916216459953717,17
32,right,left,0.8348390943476357,0.16516090565236427,17
33,left,left,0.98408859579072,0.015911404209279903,18
34,left,left,0.9822471325865432,0.017752867413456833,19
35,left,left,0.899990566411627,0.10000943358837305,20
36,right,left,0.8639655710565493,0.13603442894345077,20
37,right,left,0.784473918262316,0.21552608173768392,20
38,left,left,0.9335014474710599,0.06649855252894007,21
39,right,left,0.9476565389027258,0.0523434610972742,21
40,right,left,0.9456388356890096,0.05436116431099034,21
