trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.8169145277134023,0.1830854722865977,1
2,left,left,0.951022112664999,0.04897788733500095,2
3,right,right,0.1917056175915044,0.8082943824084956,3
4,right,left,0.7444951945477751,0.25550480545222487,3
5,right,left,0.9710470491588031,0.02895295084119691,3
6,left,left,0.9471661071321864,0.05283389286781364,4
7,right,left,0.7131963728963562,0.2868036271036438,4
8,right,right,0.18458823274380642,0.8154117672561936,5
9,left,left,0.9151361447200437,0.08486385527995637,6
10,left,right,0.3382771934706488,0.6617228065293512,6
11,right,none,0.5449360991898131,0.45506390081018694,6
12,left,left,0.6376230517042643,0.3623769482957358,7
13,right,right,0.3561593741411101,0.6438406258588899,8
14,left,left,0.7721497131939032,0.2278502868060967,9
15,right,left,0.7810167308872062,0.2189832691127938,9
16,right,right,0.1513079143924232,0.8486920856075768,10
17,left,left,0.6576984277539328,0.34230157224606717,11
18,right,left,0.6967813160625553,0.3032186839374447,11
19,right,right,0.10663121382485685,0.8933687861751431,12
20,left,none,0.45697261198613814,0.5430273880138619,12
21,left,left,0.7179064022596958,0.2820935977403042,13
22,right,left,0.8909911976643918,0.10900880233560811,13
23,right,right,0.03676907566889698,0.963230924331103,14
24,right,right,0.10141953478285537,0.8985804652171446,15
25,right,left,0.6706009249619922,0.32939907503800786,15
26,left,left,0.6648392851597547,0.3351607148402453,16
27,right,right,0.23336934666214593,0.7666306533378541,17
28,left,left,0.8015408597303679,0.19845914026963207,18
29,left,none,0.555366513802056,0.444633486197944,18
30,left,left,0.9412431886123478,0.05875681138765223,19
31,right,right,0.2821440209752277,0.7178559790247723,20
32,right,none,0.5097927817386183,0.49020721826138175,20
33,left,left,0.8555615668677446,0.14443843313225532,21
34,left,left,0.8715231501418541,0.12847684985814595,22
35,left,left,0.9687975856028218,0.03120241439717814,23
36,left,left,0.8603242429422153,0.13967575705778462,24
37,right,left,0.8381139549762239,0.1618860450237761,24
38,left,none,0.4402258977341257,0.5597741022658743,24
39,left,left,0.6076657260215572,0.3923342739784427,25
40,left,left,0.7336392456841043,0.2663607543158956,26
41,left,none,0.5082294394052878,0.4917705605947122,26
42,left,left,0.8481501217478922,0.15184987825210783,27
43,right,right,0.20147057526971546,0.7985294247302845,28
44,right,right,0.23170750363829618,0.7682924963617038,29
45,left,none,0.5490000266108871,0.4509999733891129,29
46,left,none,0.5951604781039073,0.4048395218960928,29
47,right,left,0.7872531859915234,0.21274681400847664,29
48,right,left,0.7025712264142259,0.2974287735857742,29
49,right,left,0.6197032703327432,0.38029672966725686,29
