trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.9211531716436873,0.07884682835631276,1
2,left,none,0.506880955837737,0.49311904416226304,1
3,right,left,0.7146814907837936,0.2853185092162064,1
4,right,right,0.21688156177660123,0.7831184382233988,2
5,right,none,0.4943519382556839,0.5056480617443161,2
6,right,left,0.6766798574318736,0.32332014256812636,2
7,right,left,0.6237621984140047,0.37623780158599524,2
8,left,left,0.8657739881134285,0.1342260118865715,3
9,left,none,0.4741518048424108,0.5258481951575892,3
10,left,left,0.8107526624458405,0.18924733755415943,4
11,right,left,0.6310247581073674,0.3689752418926326,4
12,left,left,0.6555681999915424,0.3444318000084577,5
13,right,right,0.25242303567358415,0.7475769643264158,6
14,right,left,0.6004388327647487,0.3995611672352513,6
15,left,left,0.8252635594581208,0.1747364405418792,7
16,right,right,0.35860843886701144,0.6413915611329886,8
17,right,right,0.200384398242475,0.799615601757525,9
18,right,right,0.38117425579452135,0.6188257442054786,10
19,right,left,0.8508595774228496,0.14914042257715046,10
20,left,left,0.7021774793292427,0.2978225206707573,11
21,left,left,0.6080311538024517,0.3919688461975484,12
22,right,none,0.44366322075975506,0.5563367792402449,12
23,right,right,0.2975230185963844,0.7024769814036156,13
24,right,left,0.7310258574594372,0.26897414254056284,13
25,right,right,0.18257568320313367,0.8174243167968663,14
26,left,none,0.5808446078816261,0.419155392118374,14
27,left,left,0.7615938393827388,0.23840616061726122,15
28,right,right,0.28207460016793773,0.7179253998320623,16
29,right,left,0.6032757153508187,0.3967242846491813,16
30,left,left,0.6598667601012702,0.34013323989872984,17
31,left,left,0.625326471065346,0.374673528934654,18
32,right,right,0.3058930106280192,0.6941069893719808,19
33,left,left,0.905440992006592,0.09455900799340795,20
34,left,left,0.6003670210914281,0.39963297890857186,21
35,left,right,0.34044444164276466,0.6595555583572353,21
36,right,right,0.32087255366200484,0.6791274463379952,22
37,left,left,0.7093196553573344,0.2906803446426655,23
38,right,left,0.7892368518444416,0.2107631481555584,23
39,right,right,0.30127823764388084,0.6987217623561192,24
40,left,left,0.8314165545311781,0.16858344546882184,25
