trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.327718454,0.672281546,1
2,left,none,0.446282287,0.553717713,1
3,right,none,0.445915239,0.554084761,1
4,left,none,0.525951074,0.474048926,1
5,right,right,0.323502346,0.676497654,2
6,right,none,0.434565265,0.565434735,2
7,left,none,0.59844024,0.40155976,2
8,left,none,0.487201738,0.512798262,2
9,right,right,0.261842241,0.738157759,3
10,right,right,0.388655787,0.611344213,4
11,left,none,0.532755012,0.467244988,4
12,right,right,0.367949613,0.632050387,5
13,right,right,0.246257073,0.753742927,6
14,right,right,0.336528725,0.663471275,7
15,left,right,0.360415462,0.639584538,7
16,left,none,0.54145493,0.45854507,7
17,left,none,0.532531052,0.467468948,7
18,left,none,0.48021059,0.51978941,7
19,right,right,0.385511017,0.614488983,8
20,left,none,0.510979605,0.489020395,8
21,left,none,0.426540585,0.573459415,8
22,right,none,0.467269332,0.532730668,8
23,left,none,0.475606816,0.524393184,8
24,left,none,0.551993201,0.448006799,8
25,right,none,0.537882429,0.462117571,8
26,left,none,0.480100155,0.519899845,8
27,left,right,0.316508494,0.683491506,8
28,left,left,0.605051989,0.394948011,9
29,left,none,0.450520011,0.549479989,9
30,left,none,0.433172978,0.566827022,9
31,right,right,0.302059144,0.697940856,10
32,left,right,0.266086401,0.733913599,10
33,left,none,0.400389653,0.599610347,10
34,right,right,0.381494092,0.618505908,11
35,right,right,0.30733692,0.69266308,12
36,right,none,0.459281853,0.540718147,12
37,right,right,0.280244353,0.719755647,13
38,right,right,0.362294474,0.637705526,14
39,right,right,0.327609491,0.672390509,15
40,right,none,0.435035613,0.564964387,15
41,right,right,0.36818283,0.63181717,16
42,right,none,0.47882806,0.52117194,16
43,right,right,0.324114959,0.675885041,17
44,left,right,0.327346885,0.672653115,17
45,right,right,0.333241378,0.666758622,18
46,left,none,0.413975244,0.586024756,18
47,left,none,0.50721225,0.49278775,18
48,right,right,0.262155066,0.737844934,19
49,left,right,0.382757001,0.617242999,19
50,left,right,0.273237519,0.726762481,19
