trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.185535616,0.814464384,1
2,left,left,0.62754283,0.37245717,2
3,left,right,0.375776429,0.624223571,2
4,right,none,0.507932555,0.492067445,2
5,left,right,0.304921145,0.695078855,2
6,right,right,0.303082062,0.696917938,3
7,right,right,0.367718121,0.632281879,4
8,right,right,0.385109935,0.614890065,5
9,left,none,0.553577818,0.446422182,5
10,left,none,0.554809373,0.445190627,5
11,right,right,0.360359678,0.639640322,6
12,left,right,0.365175587,0.634824413,6
13,right,right,0.326317018,0.673682982,7
14,left,left,0.601705299,0.398294701,8
15,left,none,0.473719579,0.526280421,8
16,right,right,0.327001025,0.672998975,9
17,left,left,0.720984427,0.279015573,10
18,right,none,0.52740264,0.47259736,10
19,right,right,0.305783467,0.694216533,11
20,right,right,0.28949427,0.71050573,12
21,right,none,0.553169814,0.446830186,12
22,left,none,0.402152284,0.597847716,12
23,left,none,0.553585828,0.446414172,12
24,right,none,0.495007874,0.504992126,12
25,right,right,0.367111669,0.632888331,13
26,right,right,0.366065466,0.633934534,14
27,right,right,0.391223983,0.608776017,15
28,left,none,0.571894448,0.428105552,15
29,left,left,0.622645179,0.377354821,16
30,left,none,0.564692852,0.435307148,16
31,right,none,0.460005427,0.539994573,16
32,left,none,0.565094841,0.434905159,16
33,right,right,0.362768878,0.637231122,17
34,left,left,0.650507571,0.349492429,18
35,left,left,0.916325338,0.083674662,19
36,right,left,0.789529842,0.210470158,19
37,left,none,0.515152579,0.484847421,19
38,right,left,0.606498728,0.393501272,19
39,left,left,0.698602114,0.301397886,20
40,right,left,0.605709032,0.394290968,20
41,left,left,0.690630714,0.309369286,21
42,left,left,0.661977851,0.338022149,22
43,left,left,0.619947906,0.380052094,23
44,left,left,0.665826426,0.334173574,24
45,right,right,0.387075236,0.612924764,25
46,right,right,0.219616857,0.780383143,26
47,right,none,0.401831782,0.598168218,26
48,right,right,0.310558348,0.689441652,27
49,right,none,0.440706997,0.559293003,27
50,left,none,0.579807982,0.420192018,27
51,left,left,0.623981249,0.376018751,28
52,left,right,0.381018692,0.618981308,28
53,right,right,0.312049255,0.687950745,29
54,left,left,0.615613983,0.384386017,30
55,left,none,0.595867297,0.404132703,30
56,right,none,0.578319528,0.421680472,30
57,right,right,0.35220148,0.64779852,31
58,left,left,0.759844438,0.240155562,32
