trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.7393626406075402,0.2606373593924598,1
2,left,left,0.8948182110965882,0.10518178890341177,2
3,right,none,0.5067736534244929,0.49322634657550707,2
4,right,right,0.31784607816599186,0.6821539218340081,3
5,left,left,0.788567743269158,0.21143225673084196,4
6,right,left,0.6972134664425048,0.3027865335574952,4
7,right,none,0.4186809165227646,0.5813190834772354,4
8,left,left,0.8349378201070371,0.16506217989296293,5
9,left,left,0.6305001577265019,0.3694998422734981,6
10,right,none,0.538742228099234,0.46125777190076594,6
11,right,none,0.4544456863571955,0.5455543136428045,6
12,left,left,0.9090087148502468,0.09099128514975315,7
13,right,right,0.3737137848405946,0.6262862151594054,8
14,left,left,0.9132940998711012,0.08670590012889874,9
15,right,left,0.7239816111499298,0.2760183888500703,9
16,left,left,0.8503549633158765,0.14964503668412354,10
17,right,right,0.18838128288478007,0.8116187171152199,11
18,left,left,0.900222429789594,0.099777570210406,12
19,right,none,0.5302408480363078,0.4697591519636922,12
20,left,left,0.8037823891246213,0.19621761087537867,13
21,right,none,0.5779374038098473,0.4220625961901527,13
22,left,none,0.43966424733985,0.56033575266015,13
23,left,none,0.5385206040869527,0.4614793959130473,13
24,left,left,0.6877879592892558,0.31221204071074415,14
25,right,left,0.6438984994704728,0.35610150052952716,14
26,left,left,0.609846784670818,0.390153215329182,15
27,right,left,0.7656528141645144,0.23434718583548564,15
28,left,left,0.6381911476931696,0.36180885230683035,16
29,left,right,0.3576033510019271,0.6423966489980729,16
30,right,right,0.27414350050889424,0.7258564994911058,17
31,right,none,0.5989311519422331,0.4010688480577669,17
32,right,left,0.6943707001528061,0.3056292998471939,17
33,left,none,0.512707607439622,0.4872923925603781,17
34,right,right,0.25973902966326434,0.7402609703367357,18
35,right,left,0.6595334131227362,0.34046658687726383,18
36,right,none,0.5689596312378218,0.43104036876217816,18
37,right,none,0.49165000895086275,0.5083499910491373,18
38,left,left,0.720862059585294,0.27913794041470597,19
39,right,none,0.4894986838251184,0.5105013161748816,19
40,right,left,0.6570826361363107,0.3429173638636894,19
41,right,right,0.24827220927853744,0.7517277907214626,20
42,left,left,0.7488315732016826,0.25116842679831747,21
43,left,left,0.7227274554719968,0.2772725445280032,22
44,right,left,0.8199415879735366,0.1800584120264635,22
45,right,right,0.2043029162889597,0.7956970837110403,23
46,left,left,0.7789731006937072,0.22102689930629285,24
47,right,right,0.18573636448351027,0.8142636355164897,25
48,left,left,0.6082161565761386,0.39178384342386147,26
49,left,right,0.39770778890040004,0.6022922110996,26
50,left,none,0.5540029502461836,0.44599704975381643,26
51,left,left,0.6017977651423154,0.3982022348576846,27
52,left,left,0.8869992657121033,0.11300073428789666,28
53,right,right,0.3446013528333741,0.6553986471666259,29
54,right,left,0.6582168500885904,0.34178314991140957,29
55,left,left,0.7701532094127375,0.2298467905872626,30
56,right,right,0.3023136533383176,0.6976863466616824,31
57,left,right,0.23995974206266812,0.7600402579373319,31
58,right,right,0.24895748117957728,0.7510425188204227,32
