trial,truth,prediction,prob_left,prob_right,score
1,left,none,0.5834506405407912,0.4165493594592088,0
2,left,none,0.406336159271499,0.593663840728501,0
3,right,none,0.589481279356795,0.4105187206432051,0
4,right,none,0.563109551864257,0.436890448135743,0
5,right,left,0.6130701984500081,0.3869298015499919,0
6,right,left,0.6352638793366014,0.3647361206633986,0
7,right,left,0.69408942919552,0.30591057080448003,0
8,left,left,0.7260836566030774,0.2739163433969226,1
9,right,none,0.5914860285790382,0.4085139714209618,1
10,left,left,0.7058273077533163,0.29417269224668374,2
11,left,left,0.70790185349929,0.2920981465007099,3
12,left,left,0.751372687242299,0.24862731275770095,4
13,left,left,0.6362516666200884,0.36374833337991164,5
14,right,left,0.7260224190513846,0.2739775809486154,5
15,right,left,0.6555797053563268,0.3444202946436732,5
16,right,left,0.7488432939347951,0.25115670606520485,5
17,right,left,0.7501896613748695,0.2498103386251305,5
18,right,left,0.7031466326508982,0.29685336734910184,5
19,left,left,0.7846695910584538,0.21533040894154618,6
20,left,left,0.8182405122567453,0.18175948774325465,7
21,right,left,0.7030300119387651,0.2969699880612348,7
22,right,none,0.48984314629051007,0.5101568537094899,7
23,right,none,0.4899985132000503,0.5100014867999497,7
24,right,none,0.4927805216455893,0.5072194783544107,7
25,left,none,0.4597931460838679,0.5402068539161321,7
26,left,none,0.4705890030083316,0.5294109969916684,7
27,left,none,0.5911579083062255,0.40884209169377445,7
28,left,none,0.40157718808393805,0.598422811916062,7
29,left,none,0.5876947781886019,0.41230522181139806,7
30,left,left,0.6393536722960437,0.3606463277039563,8
31,right,none,0.5866154731421012,0.4133845268578988,8
32,left,left,0.6295120746253027,0.3704879253746974,9
33,right,left,0.6577765249341001,0.3422234750658999,9
34,left,left,0.7048079355505505,0.2951920644494494,10
35,left,left,0.6235496662544138,0.3764503337455863,11
36,right,left,0.6049653538782833,0.39503464612171674,11
37,right,left,0.6102468282089679,0.38975317179103214,11
38,right,left,0.6667382456686464,0.33326175433135363,11
39,left,left,0.7886314256534452,0.21136857434655476,12
40,right,left,0.8052842076042913,0.19471579239570866,12
