trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.175745853,0.824254147,1
2,left,left,0.824429431,0.175570569,2
3,right,right,0.034318738,0.965681262,3
4,left,left,0.619424315,0.380575685,4
5,right,right,0.045136947,0.954863053,5
6,right,right,0.036416932,0.963583068,6
7,left,left,0.853291529,0.146708471,7
8,left,left,0.815532953,0.184467047,8
9,right,right,0.337253296,0.662746704,9
10,left,left,0.846339056,0.153660944,10
11,left,none,0.439706766,0.560293234,10
12,right,right,0.25305245,0.74694755,11
13,right,right,0.111434703,0.888565297,12
14,left,left,0.886993538,0.113006462,13
15,left,left,0.665169735,0.334830265,14
16,left,left,0.769185899,0.230814101,15
17,right,none,0.491673055,0.508326945,15
18,left,right,0.20222251,0.79777749,15
19,left,left,0.726976637,0.273023363,16
20,left,left,0.741919038,0.258080962,17
21,right,right,0.368380893,0.631619107,18
22,right,right,0.369419888,0.630580112,19
23,left,left,0.833611244,0.166388756,20
24,right,right,0.225164756,0.774835244,21
25,right,right,0.264310142,0.735689858,22
26,right,none,0.544953007,0.455046993,22
27,left,left,0.963527622,0.036472378,23
28,left,right,0.189824771,0.810175229,23
29,left,right,0.208300103,0.791699897,23
30,right,right,0.080745273,0.919254727,24
31,right,right,0.137627653,0.862372347,25
32,left,left,0.899031924,0.100968076,26
33,right,left,0.727667407,0.272332593,26
34,left,left,0.831131815,0.168868185,27
35,left,left,0.999945862,5.41E-05,28
36,right,left,0.997950577,0.002049423,28
37,left,left,0.809106869,0.190893131,29
38,right,right,0.370075997,0.629924003,30
39,left,left,0.941514835,0.058485165,31
40,left,none,0.470917673,0.529082327,31
41,left,right,0.098779789,0.901220211,31
42,right,right,0.011166368,0.988833632,32
43,left,left,0.876707335,0.123292665,33
44,right,right,0.337378013,0.662621987,34
45,left,right,0.396860228,0.603139772,34
46,left,right,0.318633101,0.681366899,34
47,right,right,0.164170363,0.835829637,35
48,left,left,0.874932912,0.125067088,36
49,left,left,0.965899386,0.034100614,37
50,right,right,0.222746979,0.777253021,38
51,left,left,0.961880349,0.038119651,39
52,right,right,0.198817515,0.801182485,40
