trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.7964730457475847,0.20352695425241532,1
2,left,left,0.9239301983905459,0.07606980160945409,2
3,right,right,0.06898614625004384,0.9310138537499562,3
4,left,left,0.9727479735669642,0.027252026433035856,4
5,left,left,0.9226336153776793,0.07736638462232076,5
6,right,right,0.005399617107257226,0.9946003828927428,6
7,right,right,0.1719138523287771,0.8280861476712229,7
8,left,left,0.7998273294834234,0.20017267051657658,8
9,right,right,0.08996803455517122,0.9100319654448288,9
10,right,right,0.06848959600077331,0.9315104039992267,10
11,right,right,0.0015736093251146333,0.9984263906748854,11
12,right,right,0.0680569141227505,0.9319430858772495,12
13,left,left,0.9999971084033682,2.8915966318461695e-06,13
14,left,left,0.9649088983162964,0.035091101683703586,14
15,left,left,0.9992771051992402,0.0007228948007598755,15
16,left,left,0.8442089409653218,0.15579105903467813,16
17,left,left,0.9646858962022161,0.035314103797783915,17
18,left,left,0.9995933898416883,0.0004066101583116274,18
19,left,left,0.9963500059682471,0.0036499940317529767,19
20,left,left,0.7076951399925157,0.29230486000748435,20
21,left,left,0.9930924236077602,0.006907576392239775,21
22,left,left,0.938137155847618,0.061862844152382,22
23,left,left,0.9959783119289917,0.004021688071008333,23
24,right,right,0.0301787503467994,0.9698212496532006,24
25,left,left,0.9923388125179912,0.007661187482008795,25
26,left,left,0.987002742293718,0.012997257706282073,26
27,left,left,0.9996149518401325,0.0003850481598674882,27
28,right,right,0.032587323474490004,0.96741267652551,28
29,right,right,0.2379008220518044,0.7620991779481956,29
30,left,left,0.994441714172877,0.005558285827123021,30
31,left,left,0.9378742637655678,0.06212573623443217,31
32,right,right,0.13213233729791318,0.8678676627020868,32
33,right,right,0.16308427324818753,0.8369157267518125,33
34,left,left,0.6959764917024454,0.3040235082975546,34
35,right,right,0.23508033312539367,0.7649196668746063,35
36,left,left,0.9572821320607913,0.0427178679392087,36
37,right,right,0.03009713777521028,0.9699028622247897,37
38,left,right,0.16803530080602525,0.8319646991939748,37
39,right,right,0.2087967859717058,0.7912032140282942,38
