trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.6454484167360384,0.35455158326396163,1
2,right,left,0.9386604159613288,0.06133958403867126,1
3,left,left,0.9678262964058317,0.032173703594168296,2
4,left,left,0.853068037758917,0.14693196224108296,3
5,right,right,0.3226002929191776,0.6773997070808224,4
6,right,none,0.5869496822607505,0.4130503177392495,4
7,right,left,0.679569905553264,0.3204300944467359,4
8,left,left,0.8819422694338919,0.11805773056610815,5
9,left,left,0.9798640543335235,0.0201359456664765,6
10,left,left,0.8495956464986276,0.1504043535013724,7
11,right,none,0.4994498611224757,0.5005501388775243,7
12,right,left,0.6937497602275435,0.3062502397724564,7
13,right,left,0.8091513802941926,0.19084861970580735,7
14,left,left,0.8907797986260519,0.10922020137394808,8
15,right,left,0.9462301821654966,0.053769817834503374,8
16,right,left,0.7555017765457439,0.2444982234542561,8
17,right,left,0.9557288336992786,0.044271166300721365,8
18,left,left,0.9697591337432919,0.03024086625670808,9
19,left,left,0.975291293152563,0.024708706847436965,10
20,left,left,0.9837648052597732,0.016235194740226822,11
21,right,left,0.9057044763777863,0.09429552362221374,11
22,left,left,0.9683589512559615,0.03164104874403849,12
23,right,left,0.942357913744208,0.05764208625579203,12
24,left,left,0.9960201152409875,0.003979884759012479,13
25,right,left,0.7347633548366919,0.26523664516330814,13
26,right,left,0.9577481988792724,0.042251801120727524,13
27,right,left,0.8497857140970899,0.1502142859029101,13
28,left,left,0.9966644233083977,0.003335576691602377,14
29,left,left,0.9711241044770396,0.028875895522960382,15
30,left,left,0.986909734902413,0.01309026509758704,16
31,left,left,0.9657497623376847,0.03425023766231528,17
32,left,left,0.9902987354801861,0.009701264519813879,18
33,right,left,0.8842088314921516,0.11579116850784843,18
34,right,right,0.34701003032250266,0.6529899696774973,19
35,left,none,0.5416639082216433,0.45833609177835666,19
36,right,left,0.9238433347856024,0.07615666521439753,19
37,right,left,0.9640209523973529,0.03597904760264711,19
38,right,left,0.991446052660948,0.00855394733905203,19
39,left,left,0.9006435866498851,0.09935641335011489,20
40,left,left,0.9844338247805485,0.015566175219451445,21
41,right,right,0.10867139872539333,0.8913286012746067,22
42,right,left,0.8350434419554981,0.16495655804450193,22
43,left,left,0.9837920422111978,0.01620795778880224,23
44,left,left,0.9817334172213993,0.018266582778600708,24
45,left,left,0.8953015041851029,0.10469849581489715,25
46,right,left,0.8664255950162235,0.1335744049837765,25
47,right,left,0.8628161139376076,0.13718388606239243,25
48,right,left,0.778110500575028,0.22188949942497205,25
49,left,left,0.9335874577957282,0.0664125422042718,26
50,left,left,0.8010518863120163,0.1989481136879837,27
51,right,left,0.9087697508482235,0.09123024915177651,27
52,right,left,0.9473899919264283,0.052610008073571767,27
53,right,left,0.945170778173344,0.054829221826655894,27
54,right,left,0.9064359076239811,0.09356409237601897,27
55,left,left,0.9868080454246518,0.013191954575348141,28
56,right,none,0.5830703801354504,0.4169296198645496,28
57,left,left,0.9730443677018998,0.02695563229810017,29
58,left,left,0.825077286798806,0.174922713201194,30
59,left,left,0.7236573452160596,0.2763426547839404,31
