trial,truth,prediction,prob_left,prob_right,score
1,left,right,0.37957267500242,0.62042732499758,0
2,right,right,0.24101895928943873,0.7589810407105613,1
3,right,none,0.41387064004914687,0.5861293599508531,1
4,left,none,0.44253559425376854,0.5574644057462315,1
5,left,left,0.642446742763433,0.357553257236567,2
6,right,right,0.13847035150606513,0.8615296484939349,3
7,right,none,0.4361846838846879,0.5638153161153121,3
8,left,none,0.47406595542995134,0.5259340445700487,3
9,left,none,0.5522386405490003,0.44776135945099976,3
10,left,left,0.7166966566099369,0.2833033433900632,4
11,left,left,0.6846731114604669,0.315326888539533,5
12,left,none,0.593742999842823,0.40625700015717703,5
13,right,none,0.4860153205661558,0.5139846794338442,5
14,left,left,0.6536280847175213,0.34637191528247874,6
15,right,none,0.418632051838705,0.581367948161295,6
16,right,right,0.08815233425599467,0.9118476657440053,7
17,left,left,0.6148288420327325,0.38517115796726753,8
18,right,none,0.5260382817062594,0.47396171829374056,8
19,right,right,0.16655607274780448,0.8334439272521955,9
20,right,right,0.31188325355781643,0.6881167464421836,10
21,right,right,0.3840830564347416,0.6159169435652584,11
22,right,left,0.7977161133295481,0.20228388667045194,11
23,left,left,0.8733325559199703,0.12666744408002978,12
24,left,left,0.8986990234203761,0.1013009765796239,13
25,right,left,0.7618796166097732,0.23812038339022673,13
26,right,right,0.17805810789781362,0.8219418921021864,14
27,left,left,0.6560678239235194,0.3439321760764806,15
28,left,left,0.7586116836029427,0.24138831639705727,16
29,right,right,0.13445900390775345,0.8655409960922466,17
30,left,left,0.8693126877569611,0.13068731224303887,18
31,left,none,0.5872694592395067,0.41273054076049337,18
32,right,right,0.03435786677110009,0.9656421332288999,19
33,left,right,0.12434431947743096,0.875655680522569,19
34,right,right,0.07434822956033482,0.9256517704396652,20
35,right,left,0.6498193263019691,0.3501806736980308,20
36,left,left,0.7203965993107053,0.27960340068929473,21
37,left,left,0.9337277284572701,0.06627227154272981,22
38,left,right,0.30443176766654223,0.6955682323334578,22
39,left,left,0.7707378104939477,0.2292621895060523,23
40,left,left,0.8314965309072588,0.1685034690927412,24
41,right,right,0.20245487943086027,0.7975451205691397,25
42,right,right,0.21412808453618737,0.7858719154638126,26
43,left,none,0.4025886289520971,0.5974113710479029,26
44,left,right,0.3383840045043762,0.6616159954956238,26
45,right,right,0.09390564375609511,0.9060943562439049,27
46,right,none,0.5488565898148714,0.4511434101851286,27
47,right,left,0.655988126974229,0.34401187302577096,27
48,left,right,0.3161728000686016,0.6838271999313984,27
49,left,right,0.3888170759960271,0.6111829240039729,27
50,left,none,0.4732025299577124,0.5267974700422876,27
51,right,none,0.5339212394128764,0.4660787605871236,27
52,left,right,0.03831865365853415,0.9616813463414658,27
53,left,left,0.6602818571021016,0.3397181428978984,28
54,right,none,0.4064054673741292,0.5935945326258708,28
55,right,right,0.1749320766665483,0.8250679233334517,29
56,right,none,0.5528493959612064,0.44715060403879364,29
57,right,right,0.046557544377056836,0.9534424556229432,30
58,left,left,0.7955713165081848,0.20442868349181517,31
