trial,truth,prediction,prob_left,prob_right,score
1,right,left,0.98306371696318,0.016936283036820095,0
2,left,right,0.0032424075277848186,0.9967575924722152,0
3,left,right,0.2220318396729547,0.7779681603270453,0
4,left,right,0.1501854355464891,0.8498145644535109,0
5,left,left,0.6108713138215501,0.38912868617844987,1
6,left,right,0.37502370963912024,0.6249762903608798,1
7,right,right,0.34572007109671243,0.6542799289032876,2
8,right,right,0.28446207233793974,0.7155379276620603,3
9,right,right,0.2029843070711983,0.7970156929288017,4
10,right,left,0.6903433629672854,0.3096566370327146,4
11,left,left,0.9999909735781052,9.026421894786162e-06,5
12,right,left,0.9999839983497791,1.6001650220825968e-05,5
13,left,left,0.9999845676983526,1.5432301647374746e-05,6
14,right,left,0.9999875528142945,1.2447185705480934e-05,6
15,left,left,0.9999835661389043,1.6433861095741776e-05,7
16,left,left,0.9999779425092907,2.205749070927928e-05,8
17,left,right,4.528414783711021e-06,0.9999954715852163,8
18,left,none,0.560535884435649,0.4394641155643511,8
19,right,right,0.22008124788884575,0.7799187521111542,9
20,left,right,0.2531696135951734,0.7468303864048266,9
21,right,left,0.9999662114626141,3.3788537385873236e-05,9
22,right,none,0.4822857322349141,0.5177142677650859,9
23,right,left,0.9985364065728404,0.001463593427159587,9
24,right,right,0.249451231776188,0.750548768223812,10
25,right,right,0.21137817906653522,0.7886218209334648,11
26,left,right,0.38303545980618814,0.6169645401938119,11
27,left,left,0.9999842662939601,1.5733706039857628e-05,12
28,right,left,0.9999806016603616,1.9398339638406483e-05,12
29,left,left,0.9999888866547361,1.1113345263934142e-05,13
30,right,left,0.9999862803250164,1.3719674983629887e-05,13
31,right,left,0.9999933688441395,6.6311558605520255e-06,13
32,left,left,0.9999564797327507,4.352026724931688e-05,14
33,left,left,0.9999834749470439,1.652505295607425e-05,15
34,left,left,0.9999867174928005,1.3282507199480238e-05,16
35,right,left,0.9999951685121286,4.831487871463564e-06,16
