trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.35815441616534427,0.6418455838346557,1
2,left,right,0.24332887721793683,0.7566711227820632,1
3,right,none,0.40519270795983353,0.5948072920401665,1
4,left,right,0.30772576754541014,0.6922742324545899,1
5,right,none,0.4463394240991265,0.5536605759008735,1
6,right,right,0.2936460688739373,0.7063539311260627,2
7,left,right,0.3234324263721404,0.6765675736278596,2
8,left,right,0.24994301203635483,0.7500569879636452,2
9,right,right,0.33731927916338866,0.6626807208366113,3
10,left,none,0.43990247189420095,0.560097528105799,3
11,left,right,0.39113481380783843,0.6088651861921616,3
12,left,right,0.29558651962939364,0.7044134803706064,3
13,left,right,0.36943094093598383,0.6305690590640162,3
14,right,right,0.3923093792931329,0.6076906207068671,4
15,right,right,0.31789614196144467,0.6821038580385553,5
16,left,right,0.23076518981208805,0.769234810187912,5
17,right,right,0.3765215974605778,0.6234784025394222,6
18,left,right,0.3836740485013731,0.6163259514986269,6
19,left,none,0.5125514109006839,0.4874485890993161,6
20,right,right,0.34625566408608643,0.6537443359139136,7
21,left,right,0.25687885516261266,0.7431211448373873,7
22,right,none,0.4516758899676452,0.5483241100323548,7
23,right,right,0.27226027822523025,0.7277397217747698,8
24,left,none,0.430694554815797,0.569305445184203,8
25,right,right,0.27677736598132086,0.7232226340186791,9
26,right,right,0.3946923872925514,0.6053076127074486,10
27,left,right,0.2741482688764625,0.7258517311235375,10
28,right,right,0.36840857924184434,0.6315914207581557,11
29,right,right,0.30415181371991706,0.6958481862800829,12
30,left,right,0.2749433381891516,0.7250566618108484,12
31,right,none,0.42923668488546973,0.5707633151145303,12
32,left,right,0.260167566902334,0.739832433097666,12
33,right,none,0.4912701942538825,0.5087298057461175,12
34,left,none,0.5096473043077052,0.4903526956922948,12
35,left,right,0.3210730298752601,0.6789269701247399,12
36,left,right,0.3452925627305259,0.6547074372694741,12
37,right,right,0.35371545084374045,0.6462845491562595,13
38,right,none,0.46537808330297437,0.5346219166970256,13
39,left,none,0.4788891958191205,0.5211108041808795,13
40,left,none,0.4362231947454678,0.5637768052545322,13
41,right,right,0.3135853733111529,0.6864146266888471,14
42,left,none,0.44038344354263315,0.5596165564573669,14
43,right,none,0.42504126801309605,0.574958731986904,14
44,left,right,0.34691989084652575,0.6530801091534743,14
45,right,none,0.41679799063209155,0.5832020093679084,14
46,left,right,0.1808682337295101,0.8191317662704899,14
47,right,right,0.27814561661106596,0.721854383388934,15
48,left,none,0.43540876322261635,0.5645912367773837,15
49,left,right,0.313926523851209,0.686073476148791,15
50,right,none,0.458013389972056,0.541986610027944,15
51,left,right,0.3806464900765226,0.6193535099234774,15
52,right,right,0.35521205375666987,0.6447879462433301,16
