trial,truth,prediction,prob_left,prob_right,score
1,left,right,0.26598467001318804,0.734015329986812,0
2,right,right,0.2866036578600586,0.7133963421399414,1
3,left,right,0.371369711391735,0.628630288608265,1
4,left,right,0.26523225889274027,0.7347677411072597,1
5,left,left,0.6805504589042048,0.31944954109579515,2
6,right,right,0.13078600960501297,0.869213990394987,3
7,right,right,0.11044423468628861,0.8895557653137114,4
8,right,right,0.3537553115187706,0.6462446884812294,5
9,right,right,0.20431224021454386,0.7956877597854561,6
10,right,right,0.1452814624910408,0.8547185375089592,7
11,left,right,0.3089255669559813,0.6910744330440187,7
12,left,right,0.18911450871959112,0.8108854912804089,7
13,right,none,0.5024520100017381,0.4975479899982619,7
14,right,none,0.5367703295701065,0.4632296704298935,7
15,right,right,0.27175486436534035,0.7282451356346596,8
16,left,none,0.5321021744724815,0.46789782552751846,8
17,left,left,0.7031063585225852,0.2968936414774148,9
18,left,right,0.3648360152652814,0.6351639847347186,9
19,left,left,0.6308194174467067,0.36918058255329333,10
20,left,none,0.4881219086654073,0.5118780913345927,10
21,left,right,0.28516129207806595,0.714838707921934,10
22,left,right,0.27713915558374147,0.7228608444162585,10
23,right,right,0.17575940239161747,0.8242405976083825,11
24,right,right,0.38668058365323776,0.6133194163467622,12
25,left,none,0.47289016037215337,0.5271098396278466,12
26,left,right,0.32380204195002726,0.6761979580499727,12
27,right,right,0.17815833747106669,0.8218416625289333,13
28,right,none,0.40806878634035926,0.5919312136596407,13
29,right,right,0.27991952976506496,0.720080470234935,14
30,right,left,0.8163014107082417,0.18369858929175834,14
31,right,right,0.21798948675617946,0.7820105132438205,15
32,right,right,0.29468182943796517,0.7053181705620348,16
33,left,right,0.34706149315137347,0.6529385068486265,16
34,left,none,0.4856959058345719,0.5143040941654281,16
35,right,right,0.376693871626843,0.623306128373157,17
36,right,left,0.8055237391450577,0.19447626085494232,17
37,left,left,0.6190317691459137,0.3809682308540863,18
38,left,right,0.2743490024953441,0.7256509975046559,18
39,left,right,0.10213081789491485,0.8978691821050852,18
40,left,none,0.40832700400068744,0.5916729959993126,18
41,left,right,0.3714059825016468,0.6285940174983532,18
42,left,right,0.2778771641170994,0.7221228358829006,18
43,right,none,0.5382562109517313,0.4617437890482688,18
44,right,right,0.10665382416105607,0.8933461758389439,19
45,right,right,0.10931636786508048,0.8906836321349195,20
46,right,left,0.879850729331899,0.12014927066810095,20
47,right,right,0.3598002557111297,0.6401997442888703,21
48,left,right,0.17695470995262108,0.8230452900473789,21
49,left,right,0.39080414255090656,0.6091958574490934,21
50,left,right,0.3010701775832332,0.6989298224167668,21
51,left,none,0.43912280435095097,0.560877195649049,21
52,right,none,0.49348928781570167,0.5065107121842983,21
53,left,none,0.5459069550627771,0.45409304493722297,21
54,right,none,0.5197890300299974,0.4802109699700026,21
55,right,right,0.3857850254093034,0.6142149745906966,22
56,left,none,0.41148652286707454,0.5885134771329255,22
57,right,none,0.40360815275673323,0.5963918472432668,22
58,right,left,0.6627424210484718,0.33725757895152814,22
59,left,left,0.610281817476775,0.389718182523225,23
