trial,truth,prediction,prob_left,prob_right,score
1,right,none,0.4668232284747713,0.5331767715252287,0
2,left,none,0.5596326905946173,0.4403673094053827,0
3,left,none,0.5822764741149731,0.417723525885027,0
4,left,none,0.40301523394648,0.59698476605352,0
5,right,none,0.5889982827303314,0.4110017172696686,0
6,right,none,0.5626677240133073,0.4373322759866926,0
7,right,left,0.6128020435751274,0.3871979564248727,0
8,right,left,0.6349725686188015,0.3650274313811986,0
9,left,left,0.651139832956908,0.34886016704309203,1
10,right,left,0.6934942424324082,0.30650575756759185,1
11,left,left,0.7255742023595351,0.2744257976404649,2
12,right,none,0.591514259938857,0.408485740061143,2
13,left,left,0.7058927780506943,0.29410722194930566,3
14,left,left,0.7079868083794439,0.29201319162055606,4
15,left,left,0.7509907913233846,0.2490092086766153,5
16,left,left,0.6356939111226338,0.3643060888773662,6
17,right,left,0.7258887093146228,0.2741112906853772,6
18,right,left,0.6553119721236149,0.3446880278763851,6
19,right,left,0.7483497826854688,0.2516502173145312,6
20,right,left,0.7501044735161304,0.24989552648386953,6
21,right,left,0.7029318156533158,0.29706818434668425,6
22,right,left,0.6871750201977694,0.31282497980223056,6
23,left,left,0.7846771524712943,0.21532284752870562,7
24,left,left,0.8180215001317304,0.18197849986826958,8
25,right,left,0.7026176859996217,0.2973823140003783,8
26,right,right,0.0872701359184681,0.9127298640815319,9
27,right,none,0.4890848434605327,0.5109151565394673,9
28,right,none,0.48991200429530435,0.5100879957046957,9
29,right,none,0.4922034361401444,0.5077965638598556,9
30,left,none,0.4594849295006166,0.5405150704993834,9
31,left,none,0.47017552459197587,0.5298244754080241,9
32,left,none,0.5906683078854256,0.4093316921145745,9
33,left,none,0.400609530930659,0.599390469069341,9
34,left,none,0.5865249576464475,0.4134750423535524,9
35,left,left,0.638950447293628,0.361049552706372,10
36,right,none,0.58651482385525,0.41348517614475006,10
37,left,left,0.6289238675723934,0.37107613242760656,11
38,right,left,0.6576368693220622,0.3423631306779378,11
39,left,left,0.654779995999809,0.34522000400019104,12
40,left,left,0.7050437969828215,0.2949562030171785,13
41,right,left,0.7218582151202277,0.27814178487977226,13
42,left,left,0.6782308469740935,0.3217691530259065,14
43,left,left,0.6226976664192025,0.3773023335807975,15
44,right,left,0.6040485645565046,0.3959514354434955,15
45,right,left,0.6391351940909827,0.36086480590901726,15
46,right,left,0.6098989843115816,0.3901010156884183,15
47,right,left,0.666295585304333,0.33370441469566703,15
48,right,left,0.6096545125295568,0.3903454874704432,15
49,left,left,0.788223663204434,0.21177633679556598,16
50,left,left,0.6305680411609278,0.3694319588390722,17
51,right,left,0.8050377383843361,0.19496226161566388,17
52,left,left,0.7948262945247946,0.20517370547520536,18
