trial,truth,prediction,prob_left,prob_right,score
1,right,right,0.007660160614891276,0.9923398393851087,1
2,left,left,0.6547281655916177,0.34527183440838227,2
3,left,left,0.9572357363074427,0.04276426369255723,3
4,right,right,0.046382428598789605,0.9536175714012104,4
5,right,right,0.25622784196953674,0.7437721580304633,5
6,left,left,0.7428232794356788,0.25717672056432117,6
7,left,left,0.839137799395272,0.16086220060472797,7
8,left,left,0.9144378849967763,0.08556211500322372,8
9,left,left,0.8228094462229744,0.17719055377702564,9
10,left,left,0.9244314153293596,0.0755685846706404,10
11,right,right,0.12819826145272883,0.8718017385472712,11
12,left,left,0.8496254495932184,0.15037455040678158,12
13,right,right,0.06316539683325073,0.9368346031667493,13
14,left,left,0.821185142281474,0.17881485771852595,14
15,left,left,0.8412426356664873,0.15875736433351278,15
16,left,left,0.7432021644419305,0.25679783555806945,16
17,right,right,0.08232330207238647,0.9176766979276135,17
18,left,left,0.8637538383792353,0.13624616162076472,18
19,left,none,0.4009913249261776,0.5990086750738224,18
20,right,right,0.15181048622808646,0.8481895137719135,19
21,left,left,0.730016672474606,0.26998332752539406,20
22,right,right,0.1208622786875243,0.8791377213124757,21
23,left,left,0.8311865365427765,0.1688134634572235,22
24,right,right,0.22062660695420155,0.7793733930457984,23
25,left,left,0.6630497618523359,0.33695023814766406,24
26,right,right,0.09229535436333136,0.9077046456366686,25
27,right,none,0.5107555514397821,0.4892444485602178,25
28,left,none,0.5980626226488865,0.4019373773511135,25
29,right,right,0.38111770677433865,0.6188822932256614,26
30,left,right,0.12966911015996108,0.8703308898400389,26
31,right,right,0.029536017576908047,0.970463982423092,27
32,right,right,0.04540497627486573,0.9545950237251343,28
33,right,right,0.2711203380490885,0.7288796619509115,29
34,left,left,0.7100111727593005,0.2899888272406995,30
35,right,right,0.04880689312419384,0.9511931068758062,31
36,left,left,0.7279851124277898,0.2720148875722101,32
37,right,right,0.11645836993021752,0.8835416300697825,33
38,right,right,0.30518120513549896,0.694818794864501,34
39,right,none,0.536196819881519,0.46380318011848093,34
40,right,right,0.11977097238646062,0.8802290276135394,35
