trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.9605491477449783,0.039450852255021616,1
2,left,none,0.4631917667803269,0.5368082332196731,1
3,right,left,0.9706666720693148,0.029333327930685164,1
4,left,none,0.5303000430508735,0.4696999569491265,1
5,right,right,0.2093302706061071,0.7906697293938929,2
6,right,right,0.21492412839368036,0.7850758716063196,3
7,left,right,0.19073195111220365,0.8092680488877964,3
8,right,left,0.7843722637346163,0.2156277362653837,3
9,right,right,0.19365649077370028,0.8063435092262997,4
10,left,right,0.39828710912539145,0.6017128908746086,4
11,left,right,0.32183548726664546,0.6781645127333545,4
12,right,right,0.2989734255606058,0.7010265744393942,5
13,left,right,0.1682179080842533,0.8317820919157467,5
14,right,right,0.31622038857579216,0.6837796114242078,6
15,left,right,0.1911930232159107,0.8088069767840893,6
16,right,right,0.2856974648363646,0.7143025351636354,7
17,left,right,0.28465721813734235,0.7153427818626577,7
18,left,none,0.4289367643529144,0.5710632356470856,7
19,right,none,0.5419604047718758,0.4580395952281242,7
20,left,right,0.26060709403969085,0.7393929059603092,7
21,left,right,0.3419459803364894,0.6580540196635106,7
22,right,left,0.7596905331687595,0.24030946683124058,7
23,left,right,0.3137089593368374,0.6862910406631626,7
24,left,right,0.1762968884826488,0.8237031115173512,7
25,right,right,0.2206680895180223,0.7793319104819777,8
26,right,left,0.9999996606336637,3.3936633622286204e-07,8
27,left,left,0.9919622015512207,0.00803779844877926,9
28,left,right,0.31337852864188465,0.6866214713581154,9
29,right,right,0.1681972196481456,0.8318027803518544,10
30,right,right,0.19244827802172682,0.8075517219782732,11
31,left,left,0.6665466110536238,0.3334533889463763,12
32,right,right,0.18524393876362966,0.8147560612363703,13
33,left,right,0.21896812404036048,0.7810318759596395,13
34,left,right,0.18470478211870123,0.8152952178812988,13
35,right,left,0.9999940534489485,5.946551051473222e-06,13
36,right,right,0.22316226675332762,0.7768377332466724,14
37,left,right,0.2513222144047289,0.7486777855952711,14
38,right,right,0.2512903774394699,0.7487096225605301,15
39,right,none,0.5456578714854277,0.4543421285145723,15
40,right,right,0.23958616972433766,0.7604138302756623,16
41,left,right,0.3062308305821211,0.6937691694178789,16
42,right,right,0.1999708057399494,0.8000291942600506,17
43,right,left,0.9999999185366657,8.146333424501589e-08,17
44,left,left,0.6507972898463545,0.3492027101536455,18
45,left,left,0.9569856379786743,0.043014362021325726,19
46,left,left,0.9996372811072263,0.00036271889277370977,20
47,left,right,0.2810527199172467,0.7189472800827533,20
48,right,right,0.19930016777463622,0.8006998322253638,21
49,left,right,0.27228830966345274,0.7277116903365473,21
50,right,left,0.999879074581,0.00012092541900001278,21
51,right,right,0.35831365481706723,0.6416863451829328,22
52,left,none,0.5108448150089714,0.4891551849910286,22
53,left,right,0.2617373494149433,0.7382626505850567,22
54,right,right,0.17441077344075873,0.8255892265592413,23
55,right,right,0.3184419979524774,0.6815580020475226,24
56,left,right,0.31425664733905523,0.6857433526609448,24
57,right,right,0.2566088967588278,0.7433911032411722,25
58,left,right,0.3259498925745721,0.6740501074254279,25
