trial,truth,prediction,prob_left,prob_right,score
1,left,none,0.4465860721106484,0.5534139278893516,0
2,right,none,0.4458914987037066,0.5541085012962934,0
3,left,none,0.526067015894234,0.47393298410576595,0
4,right,right,0.32365025996899865,0.6763497400310013,1
5,right,none,0.43480524470055093,0.5651947552994491,1
6,left,none,0.5985158965473651,0.4014841034526348,1
7,left,none,0.4871691350705041,0.5128308649294959,1
8,right,right,0.2618829282774081,0.7381170717225919,2
9,right,right,0.388655860530864,0.611344139469136,3
10,left,none,0.5326881717022353,0.46731182829776474,3
11,right,right,0.3679415868004734,0.6320584131995266,4
12,left,none,0.5583252809268426,0.4416747190731574,4
13,right,right,0.24638012512221563,0.7536198748777844,5
14,right,right,0.33637678638407376,0.6636232136159262,6
15,left,right,0.36039662581026466,0.6396033741897353,6
16,left,none,0.5415353691437097,0.45846463085629025,6
17,left,none,0.5323952196540386,0.4676047803459614,6
18,left,none,0.48038751884982067,0.5196124811501793,6
19,right,right,0.3856815559129223,0.6143184440870777,7
20,left,none,0.5109322921714679,0.4890677078285321,7
21,left,none,0.42642964190844534,0.5735703580915547,7
22,right,none,0.4672392249335994,0.5327607750664006,7
23,left,none,0.47567186375766335,0.5243281362423367,7
24,left,none,0.5519374955342343,0.4480625044657657,7
25,right,none,0.5379737237719602,0.46202627622803977,7
26,left,none,0.480255603477142,0.519744396522858,7
27,left,right,0.3165482973341345,0.6834517026658655,7
28,left,left,0.6052214268424709,0.394778573157529,8
29,right,none,0.45738639956649996,0.5426136004335,8
30,left,none,0.45045714882470134,0.5495428511752987,8
31,left,none,0.43311694392083666,0.5668830560791633,8
32,right,right,0.3021485008283281,0.6978514991716719,9
33,right,none,0.545247238360541,0.454752761639459,9
34,left,right,0.26613322126825756,0.7338667787317424,9
35,right,right,0.38146033794664724,0.6185396620533528,10
36,right,right,0.3074181594029036,0.6925818405970964,11
37,right,none,0.45948472715166444,0.5405152728483356,11
38,right,right,0.2803037336250729,0.7196962663749271,12
39,right,right,0.36241906582399175,0.6375809341760083,13
40,right,right,0.32756893328673364,0.6724310667132664,14
