trial,truth,prediction,prob_left,prob_right,score
1,left,left,0.796473045747726,0.203526954252274,1
2,left,left,0.9239301983904962,0.07606980160950384,2
3,right,right,0.06898614625021093,0.9310138537497891,3
4,left,left,0.9727479735669456,0.027252026433054313,4
5,left,left,0.9226336153776766,0.07736638462232337,5
6,right,right,0.00539961710726411,0.9946003828927359,6
7,right,right,0.1719138523286725,0.8280861476713275,7
8,left,left,0.7998273294833576,0.20017267051664242,8
9,right,right,0.08996803455519342,0.9100319654448066,9
10,right,right,0.06848959600086568,0.9315104039991343,10
11,right,right,0.0015736093251126348,0.9984263906748874,11
12,right,right,0.06805691412276038,0.9319430858772396,12
13,left,left,0.9999971084033682,2.891596631846915e-06,13
14,left,left,0.9649088983162589,0.035091101683741084,14
15,left,left,0.999277105199241,0.0007228948007590119,15
16,left,left,0.8442089409652933,0.15579105903470675,16
17,left,left,0.964685896202176,0.035314103797824,17
18,left,left,0.9995933898416886,0.0004066101583114068,18
19,left,left,0.9963500059682485,0.003649994031751452,19
20,left,left,0.7076951399924492,0.2923048600075509,20
21,left,left,0.9930924236077543,0.006907576392245758,21
22,left,left,0.9381371558475003,0.061862844152499694,22
23,left,left,0.9959783119289847,0.004021688071015313,23
24,right,right,0.030178750346825267,0.9698212496531747,24
25,left,left,0.9923388125179855,0.00766118748201448,25
26,left,left,0.98700274229374,0.012997257706260036,26
27,left,left,0.9996149518401318,0.000385048159868122,27
28,right,right,0.032587323474485896,0.9674126765255141,28
29,right,right,0.23790082205195417,0.7620991779480458,29
30,left,left,0.9944417141728763,0.005558285827123694,30
31,left,left,0.9378742637655396,0.06212573623446036,31
32,right,right,0.13213233729793883,0.8678676627020612,32
33,right,right,0.16308427324843633,0.8369157267515637,33
34,left,left,0.695976491702456,0.30402350829754404,34
35,right,right,0.2350803331256468,0.7649196668743532,35
36,left,left,0.9572821320608106,0.04271786793918937,36
37,right,right,0.0300971377752004,0.9699028622247996,37
38,left,right,0.1680353008063311,0.8319646991936689,37
39,right,right,0.208796785971621,0.791203214028379,38
40,right,right,0.00014537872638875626,0.9998546212736112,39
41,left,right,0.48669987437619466,0.5133001256238053,39
42,right,right,0.03813742494380035,0.9618625750561997,40
43,right,right,0.06712000002601115,0.9328799999739888,41
44,right,right,0.0005935735281180632,0.9994064264718819,42
45,left,left,0.9832893037975694,0.016710696202430646,43
46,right,right,0.006118921037615244,0.9938810789623848,44
47,right,right,0.0007019947995523523,0.9992980052004476,45
48,left,left,0.6789371449041679,0.3210628550958321,46
49,right,right,0.01159871051170358,0.9884012894882964,47
50,left,right,0.09954229687143301,0.900457703128567,47
